,CaseId,geometry,LATITUDE,LONGITUDE,Priority_Value,DN,days_elapsed,satisfaction_level,no_of_priority_areas,no_of_retail_licenses_vicinity,avg_compliance_percent,days_elapsed_last_inspection,Priority_Value_score,DN_score,days_elapsed_score,satisfaction_level_score,no_of_priority_areas_score,no_of_retail_licenses_vicinity_score,avg_compliance_percent_score,days_elapsed_last_inspection_score,Final_score_Visibility,Final_score_Impact,Total_score,Total_score_classes,OBJECTID,REGION,AMANACODE,AMANAARNAM,AMANAENAME,SHAPE_AREA,SHAPE_LEN,index_right
273,INC-21-10-137357,POINT (557818.7697810428 2673579.489861455),24.173737123,39.569221446,3,314,355,0,0,5,0.0,0,1.0,0.0,0.48,0.33,0.0,0.01,0.0,0.0,0.27,0.5,40.48,High (40%-70%),4238,منطقة المدينة المنورة,003,أمانة منطقة المدينة المنور,Madinah Municipality,13.0535223129,23.3638595725,10
274,INC-22-03-113842,POINT (1610213.5484688217 2973360.029756547),26.44615901,50.093752965,1,24506,207,0,0,13,0.0,0,0.0,0.61,0.28,0.33,0.0,0.03,0.0,0.0,0.51,0.0,40.48,High (40%-70%),4237,المنطقة الشرقية,006,أمانة المنطقة الشرقية,Eastern Region Municipality,5.99314268248,23.0092070926,9
275,INC-22-09-039729,POINT (1620950.5846986603 2956021.8550263843),26.284249427,50.184427388,1,4868,41,0,0,16,50.0,146,0.0,0.09,0.03,0.33,0.0,0.03,0.92,0.38,0.29,0.46,40.48,High (40%-70%),4237,المنطقة الشرقية,006,أمانة المنطقة الشرقية,Eastern Region Municipality,5.99314268248,23.0092070926,9
276,INC-22-02-045480,POINT (938012.2865587608 2005589.398274236),18.094783608,43.1368481,3,388,251,0,0,3,4.714285714285708,41,1.0,0.0,0.34,0.33,0.0,0.0,0.09,0.11,0.25,0.54,40.44,High (40%-70%),4240,منطقة عسير,007,أمانة منطقة عسير,Asir Municipality,6.91436708641,14.4887078551,12
277,INC-21-12-101861,POINT (403825.24415942153 2662835.322757919),24.074830826,38.053912818,3,0,303,0,0,30,0.0,0,1.0,0.0,0.41,0.33,0.0,0.08,0.0,0.0,0.27,0.5,40.42,High (40%-70%),4238,منطقة المدينة المنورة,003,أمانة منطقة المدينة المنور,Madinah Municipality,13.0535223129,23.3638595725,10
278,INC-22-02-029154,POINT (564204.2502188042 2703591.563601065),24.44453965,39.633427845,3,5681,254,0,0,0,0.0,0,1.0,0.14,0.35,0.33,0.0,0.0,0.0,0.0,0.27,0.5,40.29,High (40%-70%),4238,منطقة المدينة المنورة,003,أمانة منطقة المدينة المنور,Madinah Municipality,13.0535223129,23.3638595725,10
279,INC-22-10-062440,POINT (515301.9760384738 2387950.1430893573),21.594481769,39.147828306,3,16709,6,0,0,26,0.0,0,1.0,0.42,0.0,0.33,0.0,0.07,0.0,0.0,0.27,0.5,40.22,High (40%-70%),4244,منطقة مكة المكرمة,005,أمانة محافظة جدة,Jeddah Municipality,3.27079065618,26.645802478,16
280,INC-22-01-140337,POINT (894336.2806050743 2025944.9655373283),18.28678277,42.728929035,2,4453,267,0,0,96,0.0,0,0.5,0.08,0.36,0.33,0.0,0.25,0.0,0.0,0.38,0.25,40.09,High (40%-70%),4240,منطقة عسير,007,أمانة منطقة عسير,Asir Municipality,6.91436708641,14.4887078551,12
281,INC-22-10-064794,POINT (520940.3741285022 2381748.537397231),21.53839307,39.202221415,3,15342,5,0,0,38,0.0,0,1.0,0.38,0.0,0.33,0.0,0.1,0.0,0.0,0.27,0.5,40.07,High (40%-70%),4244,منطقة مكة المكرمة,005,أمانة محافظة جدة,Jeddah Municipality,3.27079065618,26.645802478,16
282,INC-21-11-123851,POINT (560982.2781856748 2715104.5945311617),24.5486459,39.6021368,3,1784,327,0,0,2,0.0,0,1.0,0.03,0.45,0.33,0.0,0.0,0.0,0.0,0.26,0.5,40.01,High (40%-70%),4238,منطقة المدينة المنورة,003,أمانة منطقة المدينة المنور,Madinah Municipality,13.0535223129,23.3638595725,10
283,INC-22-02-118385,POINT (1365281.4720457576 1951598.818474937),17.483753237,47.127675497,2,801,235,0,0,2,18.0,85,0.5,0.01,0.32,0.33,0.0,0.0,0.33,0.22,0.3,0.41,39.95,Medium (10%-40%),4228,منطقة نجران,015,أمانة منطقة نجران,Najran Municipality,12.3017864708,19.4977381596,0
284,INC-22-10-021694,POINT (521341.1931722785 2381439.7170116636),21.535598136,39.206088172,2,15342,13,-1,0,9,0.0,0,0.5,0.38,0.01,1.0,0.0,0.02,0.0,0.0,0.22,0.58,39.94,Medium (10%-40%),4244,منطقة مكة المكرمة,005,أمانة محافظة جدة,Jeddah Municipality,3.27079065618,26.645802478,16
285,INC-22-09-134944,POINT (515624.3549255841 2386034.7255555037),21.577173198,39.150924782,3,17268,28,0,0,15,0.0,0,1.0,0.43,0.02,0.33,0.0,0.03,0.0,0.0,0.26,0.5,39.89,Medium (10%-40%),4244,منطقة مكة المكرمة,005,أمانة محافظة جدة,Jeddah Municipality,3.27079065618,26.645802478,16
